year,month,day,u1,u2,u3,u4
2013,3,20,-0.00016,-0.16288,-0.05296,0.08344
2013,5,1,-0.27511,0.18154,0.38162,0.34317
2013,6,19,-0.00162,0.74518,1.44622,0.40039
2013,7,31,0.0678,-0.6901,-0.48076,0.62371
2013,9,18,0.00309,-2.13346,-2.39594,0.59448
2013,10,30,-0.00262,0.67268,1.0393,-0.35923
2013,12,18,-0.00103,-0.8155,0.35627,1.14128
2014,1,29,0.0007,0.28706,-0.52161,-0.80016
2014,3,19,0.00554,1.02248,0.15214,0.72594
2014,4,30,-0.00052,0.04064,0.22209,0.06513
2014,6,18,0.00307,-0.2198,-0.39957,0.76409
2014,7,30,-0.06524,-0.51208,-0.41076,0.56813
2014,9,17,0.0038,0.25028,0.09758,1.05391
2014,10,29,0.07038,0.76417,-0.18751,0.02416
2014,12,17,-0.08243,-1.38915,1.02445,0.24752
2015,1,28,-0.00108,-0.02343,-0.16416,-0.53608
2015,3,18,-0.08597,-2.36672,0.25492,1.19631
2015,4,29,-0.06644,-0.12231,-0.08898,0.10262
2015,6,17,-0.07962,-0.99397,-0.4113,-0.17606
2015,7,29,-0.0671,-0.34296,-0.19052,0.03178
2015,9,17,-0.8481,-0.3451,-0.21819,-0.566
2015,10,28,-0.05888,1.27987,-0.92793,-0.25896
2015,12,16,0.27499,-0.55839,-0.48278,-0.08327
2016,1,27,-0.07006,-0.0162,-0.00499,-1.10485
2016,3,16,-0.21535,-1.32686,0.08464,-1.09717
2016,4,27,-0.0639,-0.12256,-0.37772,0.56204
2016,6,15,-0.00619,-0.46263,0.50215,-0.7981
2016,7,27,-0.13097,-0.15137,-0.48317,0.32068
2016,9,21,-0.66721,-0.41129,-0.29334,-0.13244
2016,11,2,-0.07034,0.04143,-0.04595,0.24571
2016,12,14,0.00515,1.06109,0.33071,0.77999
2017,2,1,-0.03826,-0.39088,0.45974,-0.09888
2017,3,15,-0.00684,-1.03805,0.21905,-0.65559
2017,5,3,0.00175,0.24397,0.07414,0.36266
2017,6,14,0.25219,0.1923,-0.16409,0.3002
2017,7,26,-0.0682,-0.25349,-0.06855,-0.28056
2017,9,20,0.00395,0.7437,0.08829,0.47527
2017,11,1,-0.03449,0.02065,0.16804,0.20113
2017,12,13,-0.00139,-0.33746,-0.05036,-0.09636
2018,1,31,-0.06622,0.35206,0.30057,0.08192
2018,3,21,-0.00272,-0.18836,0.9469,0.56518
2018,5,2,-0.00139,-0.31662,0.05487,0.01388
2018,6,13,-0.05479,0.73832,0.03726,0.46927
2018,8,1,0.07592,-0.12449,-0.13146,0.01564
2018,9,26,0.13241,-0.35984,0.12058,0.32179
2018,11,8,0.04604,0.02475,0.06859,0.25054
2018,12,19,0.43024,0.2815,-0.79917,-1.37246
2019,1,30,-0.00451,-1.18658,0.50165,0.65709
2019,3,20,0.18108,-1.37501,0.06408,-0.34416
2019,5,1,-0.38341,-0.51364,0.38661,-0.37524
2019,6,19,0.53434,-1.54385,0.66283,-0.77481
